NO,sigungu,beonji,bonbeon,bubeon,dangi,class,area,cntr_ym,cntr_d,deposit,m_rent,floor,built_y,road_nm,cntr_prd,cntr_cls ,renew,pre_deposit,pre_m_rent
93,서울특별시 용산구 용산동2가,47-17,47,17,한신,월세,78.43,202403,26,1,000,150,5,1981,녹사평대로 245,202404~202604,신규,-,,
94,서울특별시 용산구 용산동2가,May-47,47,5,용암한신,월세,72.66,202403,27,2,000,120,8,1982,신흥로2길 58,202404~202604,신규,-,,
95,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202404,1,43,000,0,8,1981,녹사평대로 245,202406~202606,신규,-,,
96,서울특별시 용산구 용산동2가,May-47,47,5,용암한신,전세,72.66,202404,5,40,000,0,6,1982,신흥로2길 58,202405~202605,신규,-,,
97,서울특별시 용산구 용산동2가,May-47,47,5,용암한신,전세,72.66,202405,7,38,000,0,2,1982,신흥로2길 58,202407~202607,신규,-,,
98,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,78.43,202405,22,50,000,0,3,1981,녹사평대로 245,202408~202608,신규,-,,
99,서울특별시 용산구 갈월동,6-48,6,48,두리파크빌,전세,66.1,202405,10,33,000,0,4,2004,한강대로102나길 23,202407~202607,신규,-,,
100,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,145.2,202306,14,20,000,550,10,2013,한강대로 372,-,갱신,-,5,000,520
101,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,128.06,202306,16,10,000,500,6,2013,한강대로 372,202307~202507,신규,-,,
102,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,131.05,202306,19,30,000,300,11,2013,한강대로 372,202307~202507,갱신,-,30,000,160
103,서울특별시 용산구 동자동,08월 19일,19,8,동자,전세,44.79,202306,22,12,500,0,1,1969,한강대로104마길 30,202309~202509,신규,-,,
104,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,145.2,202306,24,110,000,0,11,2013,한강대로 372,202308~202508,신규,-,,
105,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,145.2,202306,24,110,000,0,11,2013,한강대로 372,202308~202508,신규,-,,
106,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,149.05,202306,28,10,000,580,23,2013,한강대로 372,202307~202507,신규,-,,
107,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,128.06,202307,7,20,000,430,29,2013,한강대로 372,202308~202507,신규,-,,
108,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,131.05,202307,10,0,480,22,2013,한강대로 372,202307~202507,신규,-,,
109,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,149.05,202307,12,20,000,500,22,2013,한강대로 372,202308~202508,신규,-,,
110,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,131.05,202307,26,500,473,27,2013,한강대로 372,202308~202507,갱신,사용,500,450
111,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,128.06,202308,7,0,545,27,2013,한강대로 372,202308~202508,신규,-,,
112,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,149.05,202308,28,0,630,25,2013,한강대로 372,202309~202509,신규,-,,
113,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,145.2,202309,21,110,000,0,25,2013,한강대로 372,202310~202510,갱신,-,105,000,0
114,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,145.2,202310,7,105,000,0,27,2013,한강대로 372,-,-,-,,
115,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,131.05,202310,7,60,000,180,10,2013,한강대로 372,202311~202511,신규,-,,
116,서울특별시 용산구 동자동,08월 19일,19,8,동자,월세,51.47,202310,14,1,000,73,3,1969,한강대로104마길 30,202311~202511,신규,-,,
117,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,145.2,202310,19,0,550,27,2013,한강대로 372,202311~202510,신규,-,,
118,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,131.05,202310,28,70,000,150,25,2013,한강대로 372,202312~202512,신규,-,,
119,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,131.05,202310,28,94,000,0,25,2013,한강대로 372,202312~202512,신규,-,,
120,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,149.05,202310,28,110,000,0,21,2013,한강대로 372,202312~202512,신규,-,,
121,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,149.05,202310,28,110,000,0,21,2013,한강대로 372,-,-,-,,
122,서울특별시 용산구 동자동,08월 19일,19,8,동자,전세,44,202311,6,14,000,0,1,1969,한강대로104마길 30,202311~202511,갱신,-,7,000,0
123,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,145.2,202311,10,105,000,0,27,2013,한강대로 372,202311~202511,신규,-,,
124,서울특별시 용산구 동자동,08월 19일,19,8,동자,월세,27.34,202312,4,13,000,10,1,1969,한강대로104마길 30,202401~202601,갱신,-,8,000,0
125,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,145.2,202312,13,115,000,0,9,2013,한강대로 372,202312~202512,갱신,사용,120,000,0
126,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,149.05,202312,15,105,000,0,22,2013,한강대로 372,202401~202601,신규,-,,
127,서울특별시 용산구 동자동,08월 19일,19,8,동자,전세,44,202312,16,12,000,0,5,1969,한강대로104마길 30,202401~202601,갱신,-,10,000,0
128,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,131.05,202312,17,100,000,0,10,2013,한강대로 372,202402~202602,신규,-,,
129,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,149.05,202312,17,110,000,0,8,2013,한강대로 372,202402~202602,신규,-,,
130,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,128.06,202312,27,80,000,100,23,2013,한강대로 372,202402~202602,신규,-,,
131,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,166.6,202401,18,0,700,29,2013,한강대로 372,202403~202701,신규,-,,
132,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,128.06,202401,19,93,000,0,16,2013,한강대로 372,202402~202602,신규,-,,
133,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,128.06,202401,19,93,000,0,16,2013,한강대로 372,-,-,-,,
134,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,149.05,202401,20,103,000,0,20,2013,한강대로 372,202403~202603,신규,-,,
135,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,166.6,202401,22,110,000,175,33,2013,한강대로 372,202403~202603,신규,-,,
136,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,145.2,202402,1,110,000,0,29,2013,한강대로 372,202403~202603,신규,-,,
137,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,131.05,202402,21,105,000,0,5,2013,한강대로 372,202403~202503,신규,-,,
138,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,131.05,202402,28,20,000,450,15,2013,한강대로 372,202404~202604,신규,-,,
139,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,145.2,202403,20,10,000,580,23,2013,한강대로 372,-,-,-,,
140,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,월세,149.05,202403,20,10,000,650,24,2013,한강대로 372,202404~202604,신규,-,,
141,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,145.2,202404,22,107,000,0,9,2013,한강대로 372,202406~202606,갱신,-,101,800,0
142,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,145.2,202404,26,92,000,0,3,2013,한강대로 372,-,-,-,,
143,서울특별시 용산구 동자동,08월 19일,19,8,동자,전세,44.79,202404,29,15,000,0,1,1969,한강대로104마길 30,-,-,-,,
144,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,131.05,202405,1,105,000,0,26,2013,한강대로 372,202405~202604,신규,-,,
145,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,전세,131.05,202405,3,100,000,0,13,2013,한강대로 372,202405~202605,갱신,사용,125,000,0
146,서울특별시 용산구 청파동1가,Mar-84,84,3,목화,전세,57.5,202307,18,30,000,0,6,2004,청파로47나길 45-37,202308~202508,신규,-,,
147,서울특별시 용산구 청파동1가,Mar-84,84,3,목화,전세,74.3,202307,28,30,000,0,3,2004,청파로47나길 45-37,202309~202409,신규,-,,
148,서울특별시 용산구 청파동1가,Mar-84,84,3,목화,전세,61.35,202311,6,32,000,0,6,2004,청파로47나길 45-37,202312~202512,신규,-,,
149,서울특별시 용산구 청파동3가,132-50,132,50,한울글로리A,전세,65.3,202306,16,30,000,0,4,2003,효창원로76길 7,-,갱신,사용,30,000,0
150,서울특별시 용산구 청파동3가,132-68,132,68,한울글로리B,전세,42.05,202307,17,21,000,0,5,2003,효창원로76길 9,202308~202508,신규,-,,
151,서울특별시 용산구 청파동3가,132-50,132,50,한울글로리A,전세,91.03,202309,2,40,000,0,5,2003,효창원로76길 7,202310~202510,신규,-,,
152,서울특별시 용산구 청파동3가,132-15,132,15,베르체,전세,105.03,202310,16,52,500,0,4,2003,효창원로72길 29,-,갱신,-,50,000,0
153,서울특별시 용산구 청파동3가,132-15,132,15,베르체,월세,111.92,202311,18,55,000,50,3,2003,효창원로72길 29,202401~202601,신규,-,,
154,서울특별시 용산구 청파동3가,132-13,132,13,효창PALACEVILLE,전세,130,202402,3,22,000,0,5,2001,효창원로72길 35,202403~202603,신규,-,,
155,서울특별시 용산구 청파동3가,132-13,132,13,효창PALACEVILLE,전세,130,202403,12,70,000,0,4,2001,효창원로72길 35,202405~202605,신규,-,,
156,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,123.673,202305,24,80,000,100,22,2014,원효로90길 11,202306~202506,신규,-,,
157,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,월세,23.673,202305,24,25,000,20,14,2021,원효로81길 3,202307~202507,신규,-,,
158,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,123.673,202305,26,104,000,0,19,2014,원효로90길 11,202307~202507,신규,-,,
159,서울특별시 용산구 원효로1가,133-3,133,3,리첸시아용산A,월세,107.05,202305,29,10,000,330,22,2010,백범로 341,202306~202506,신규,-,,
160,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,전세,23.66,202305,30,29,000,0,12,2021,원효로81길 3,202307~202507,신규,-,,
161,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,142.901,202306,2,120,000,0,23,2014,원효로90길 11,202307~202507,신규,-,,
162,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,142.901,202306,2,120,000,0,23,2014,원효로90길 11,-,-,-,,
163,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,전세,23.66,202306,4,28,000,0,17,2021,원효로81길 3,202307~202507,신규,-,,
164,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,123.673,202306,5,55,000,256,7,2014,원효로90길 11,202307~202309,신규,-,,
165,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,38.61,202306,5,40,000,0,4,2014,원효로90길 11,202307~202507,신규,-,,
166,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,월세,23.66,202306,6,28,000,12,16,2021,원효로81길 3,202306~202506,신규,-,,
167,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,전세,23.673,202306,8,31,500,0,17,2021,원효로81길 3,202307~202507,갱신,사용,36,000,0
168,서울특별시 용산구 원효로1가,05월 17일,17,5,로얄카운티-2,전세,134.73,202306,9,65,000,0,4,2006,백범로79다길 27,202307~202507,신규,-,,
169,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,84.976,202306,9,5,000,306,7,2014,원효로90길 11,202306~202506,신규,-,,
170,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,142.901,202306,10,70,000,190,26,2014,원효로90길 11,-,-,-,,
171,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,142.901,202306,10,70,000,190,26,2014,원효로90길 11,202307~202507,신규,-,,
172,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,123.673,202306,13,110,000,0,11,2014,원효로90길 11,202308~202508,갱신,사용,125,000,0
173,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,84.976,202306,15,78,000,0,18,2014,원효로90길 11,202308~202508,신규,-,,
174,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,84.976,202306,16,73,500,0,18,2014,원효로90길 11,202307~202507,신규,-,,
175,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,84.976,202306,17,82,500,0,31,2014,원효로90길 11,202308~202508,신규,-,,
176,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,84.976,202306,17,82,500,0,31,2014,원효로90길 11,-,-,-,,
177,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,전세,23.673,202306,19,30,000,0,11,2021,원효로81길 3,202307~202507,신규,-,,
178,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202306,19,12,106,52,8,2022,원효로97길 15,202307~202507,신규,-,,
179,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202306,19,17,344,76,6,2022,원효로97길 15,202307~202507,신규,-,,
180,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,84.976,202306,20,0,390,30,2014,원효로90길 11,202307~202406,신규,-,,
181,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,전세,19.33,202306,23,29,000,0,18,2021,원효로81길 3,202307~202507,신규,-,,
